X,Y,Z
437432.590,86874.650,47.99
437786.367,86966.242,48.75
437810.365,86988.344,48.75
437782.184,87006.618,48.83
437843.024,86941.031,48.84
438000.024,86823.350,48.87
437915.730,86890.860,48.92
437809.380,86911.660,48.96
437990.269,86810.689,48.98
437452.122,86854.726,48.06
437435.302,86860.190,48.30
437959.569,86868.439,48.82
437982.754,86850.425,48.85
438016.109,86801.333,49.02
438054.064,86775.735,49.02
437805.970,86945.570,49.03
438038.362,86793.822,49.08
437888.807,86911.811,49.10
437962.312,86830.596,49.13
437772.900,86939.870,49.18
437647.776,87121.675,49.19
437675.763,87050.718,49.21
438023.410,86779.410,49.21
437908.950,86848.410,49.22
437660.180,87078.310,49.26
437654.911,87050.536,49.33
437630.650,87064.760,49.35
437596.280,87094.500,49.36
437696.195,87018.382,49.40
437840.980,86791.000,49.43
437620.185,87084.854,49.48
437815.701,86810.661,49.48
437645.030,87039.090,49.50
437844.138,86818.940,49.52
437584.040,87074.650,49.53
437669.365,86988.108,49.53
437606.214,87044.725,49.55
437675.590,86939.440,49.59
437674.210,86968.330,49.63
437575.330,87106.720,49.65
437917.814,86791.436,49.68
437723.730,86845.560,49.70
437967.580,86765.505,49.70
437686.360,86890.280,49.74
437682.230,86864.340,49.76
437670.250,86908.690,49.78
437939.158,86773.785,49.79
437918.206,86753.756,49.80
437621.636,87028.540,49.82
437948.770,86750.640,49.83
437638.790,86897.670,49.84
437713.930,86807.070,49.84
437578.580,86982.070,49.93
437889.230,86734.700,49.93
437944.739,86833.262,49.05
437861.870,86878.630,49.20
437815.500,86875.280,49.34
437926.710,86802.510,49.55
437655.300,86781.170,50.00
437591.900,86879.620,50.16
437565.960,86852.980,50.35
437558.587,87048.113,50.38
437539.785,86914.944,50.44
437546.370,86876.570,50.45
437527.964,87057.677,50.47
437556.590,86934.660,50.51
437601.040,86766.320,50.52
437661.892,86720.497,50.53
437513.222,87031.320,50.57
437546.680,87086.374,50.57
437617.750,86737.820,50.57
437582.630,86743.480,50.58
437540.892,86983.363,50.60
437499.282,87068.520,50.64
437463.885,87015.205,50.68
437515.388,86896.112,50.68
437555.472,86791.450,50.70
437640.423,86732.667,50.73
437460.762,87053.100,50.88
437474.447,87041.683,50.92
437526.232,86951.190,50.94
437919.252,86710.875,50.20
437462.701,87037.334,51.04
437501.437,86982.254,51.05
437512.260,86918.710,51.09
437463.499,86996.867,51.10
437691.998,86784.791,51.14
437479.356,86955.893,51.20
437655.410,86753.720,51.21
437434.042,87020.700,51.27
437399.792,86975.510,51.28
437422.680,87004.747,51.29
437756.676,86768.195,51.29
437747.139,86801.244,51.32
437421.942,86968.404,51.35
437454.047,86970.011,51.37
437405.158,87005.138,51.38
437740.372,86738.765,51.38
437427.728,86992.106,51.39
437431.852,86948.420,51.39
437623.378,86718.436,51.47
437713.780,86775.910,51.60
437636.926,86701.828,51.90
437415.200,86856.790,51.99
437862.524,86705.902,51.01
437796.120,86751.250,51.29
437785.809,86710.844,51.36
437894.554,86679.189,51.44
437784.920,86759.180,51.45
437853.878,86609.268,51.50
437817.422,86676.137,51.53
437799.506,86689.530,51.53
437869.830,86640.920,51.53
437864.060,86675.160,51.57
437767.107,86671.339,51.58
437443.852,86844.830,51.64
437798.910,86664.460,51.73
437361.940,86931.330,51.84
437703.210,86713.350,51.87
437819.120,86618.320,51.91
437795.346,86601.447,51.93
437374.950,86890.120,52.36
437353.440,86907.230,52.85
437331.510,86925.020,52.88
437643.170,86663.490,52.12
437833.170,86636.760,52.21
437821.859,86588.061,52.47
437343.850,86884.660,52.56
